City,State,% Growth (2000 - 2013),Population,Latitude,Longitude
Moline,Illinois,-1.9,"43,116.00",41.5067003,-90.5151342
Fond du Lac,Wisconsin,1.7,"42,970.00",43.7730448,-88.4470508
Belleville,Illinois,1.2,"42,895.00",38.5200504,-89.9839935
Fairfield,Ohio,1.2,"42,635.00",39.3454673,-84.5603187
Midland,Michigan,0.9,"42,181.00",43.6155825,-84.2472116
Hutchinson,Kansas,0.1,"41,889.00",38.0608445,-97.9297743
Buffalo Grove,Illinois,-3.4,"41,778.00",42.1662831,-87.9631308
Urbandale,Iowa,41.5,"41,776.00",41.6266555,-93.7121656
Urbana,Illinois,10.3,"41,752.00",40.1105875,-88.2072697
Plainfield,Illinois,203.6,"41,734.00",41.632223,-88.2120315
Bartlett,Illinois,13.1,"41,679.00",41.9950276,-88.1856301
Findlay,Ohio,5.8,"41,512.00",41.04422,-83.6499321
Quincy,Illinois,0.5,"40,915.00",39.9356016,-91.4098726
Warren,Ohio,-15.2,"40,768.00",41.2375569,-80.8184166
Mankato,Minnesota,24.7,"40,641.00",44.1635775,-93.9993996
Cedar Falls,Iowa,12,"40,566.00",42.5348993,-92.4453161
Crystal Lake,Illinois,5.3,"40,388.00",42.2411344,-88.3161965
Carol Stream,Illinois,-0.2,"40,379.00",41.9125286,-88.1347927
Streamwood,Illinois,10.1,"40,351.00",42.0255827,-88.1784085
New Berlin,Wisconsin,3.6,"39,834.00",42.9764027,-88.1084224
Maplewood,Minnesota,12.3,"39,765.00",44.9530215,-92.9952153
Romeoville,Illinois,79.5,"39,650.00",41.6475306,-88.0895061
Moorhead,Minnesota,21.3,"39,398.00",46.8737648,-96.7678039
Lancaster,Ohio,10.7,"39,325.00",39.7136754,-82.5993294
Wausau,Wisconsin,1.7,"39,309.00",44.9591352,-89.6301221
Shakopee,Minnesota,85.7,"39,167.00",44.7973962,-93.5272861
Rock Island,Illinois,-1.9,"38,877.00",41.5094771,-90.5787476
Cape Girardeau,Missouri,9.4,"38,816.00",37.3058839,-89.5181476
Hanover Park,Illinois,0.6,"38,510.00",41.9994722,-88.1450735
Lima,Ohio,-8.1,"38,355.00",40.742551,-84.1052256
Carpentersville,Illinois,22.8,"38,241.00",42.1211364,-88.2578582
Huber Heights,Ohio,-0.2,"38,142.00",39.843947,-84.1246608
Wheeling,Illinois,4.8,"38,015.00",42.1391927,-87.9289591
Brookfield,Wisconsin,-1.9,"37,999.00",43.0605671,-88.1064787
Park Ridge,Illinois,0.1,"37,839.00",42.0111412,-87.8406192
Westerville,Ohio,5.7,"37,530.00",40.1261743,-82.9290696
Grove City,Ohio,35.6,"37,490.00",39.8814519,-83.0929644
Addison,Illinois,2.6,"37,385.00",41.931696,-87.9889556
Lincoln Park,Michigan,-6.7,"37,313.00",42.2505943,-83.1785361
Calumet City,Illinois,-4.5,"37,240.00",41.6155909,-87.5294871
Muskegon,Michigan,-7.1,"37,213.00",43.2341813,-86.2483921
Greenfield,Wisconsin,4.8,"37,159.00",42.9614039,-88.0125865
Beloit,Wisconsin,2.9,"36,888.00",42.5083482,-89.0317765
